NO,의원명,업무구분,대표전화,주소,평일 진료,토요일 진료,일요일 진료,공휴일 진료,위도,경도
16165,경희청담한의원,한의원,02-802-9123,"서울특별시 금천구 시흥대로 196, 5층 (시흥동, 세진빌딩)",09:30~19:00,09:30~15:00,-,-,37.4514395,126.9022415
7431,장원치과의원,치과,02-808-2570,"서울특별시 금천구 금하로 698, 2층 (시흥동)",10:00~18:00,10:00~13:00,-,-,37.4515044,126.907427
16663,신진한의원,한의원,02-802-0917,"서울특별시 금천구 금하로 701, (시흥동)",10:00~18:00,10:00~18:00,-,10:00~18:00,37.4515728,126.9079733
1204,김병수이비인후과의원,의원,02-896-2528,"서울특별시 금천구 시흥대로 198, (시흥동,두성빌딩)",09:30~18:30,09:30~15:00,-,-,37.4516434,126.9021596
7558,이민영라임치과의원,치과,02-891-3593,서울특별시 금천구 시흥대로 198,09:30~18:30,09:00~14:00,-,-,37.4516434,126.9021596
16664,진성한의원,한의원,02-802-7689,"서울특별시 금천구 시흥대로 198, (시흥동)",09:00~19:00,09:00~17:00,09:00~17:00,09:00~17:00,37.4516434,126.9021596
7574,성모정소아청소년과의원,의원,02-896-0075,"서울특별시 금천구 금하로 705, 2층 206호 (시흥동, 플라자 카멜리아)",09:00~18:30,09:00~13:00,-,-,37.4516632,126.9083983
7576,금천연세마취통증의학과의원,의원,02-891-8275,"서울특별시 금천구 금하로 705, 205호(시흥동,카멜리아)",09:00~19:00,09:00~13:00,-,-,37.4516632,126.9083983
4992,서울올치과의원,치과,02-896-2080,서울특별시 금천구 금하로 705,09:30~18:30,09:30~14:00,-,-,37.4516632,126.9083983
1955,비앤이치과의원,치과,02-895-2804,서울특별시 금천구 시흥대로 201 (시흥동),10:00~21:00,10:00~16:00,-,-,37.4518936,126.9007885
2017,녹십자요양의원,요양의원,1544-2708,"서울특별시 금천구 시흥대로 202, 3,4층 (시흥동, 대의빌딩)",09:00~18:00,09:00~15:00,-,-,37.4520002,126.9021196
5539,김홍열내과의원,의원,02-805-6124,"서울특별시 금천구 시흥대로 202, 2층 (시흥동, 대의빌딩)",09:00~18:30,09:00~13:00,-,09:00~13:00,37.4520002,126.9021196
638,새항외과의원,의원,02-808-7775,서울특별시 금천구 시흥대로 204,09:00~19:00,09:00~15:00,-,-,37.4522508,126.9019022
6420,미래산부인과의원,의원,02-891-2500,"서울특별시 금천구 시흥대로 204, 성보빌딩 3층 (시흥동)",09:00~19:00,09:00~15:30,-,-,37.4522508,126.9019022
8759,푸른꿈나무치과의원,치과,02-803-2875,"서울특별시 금천구 시흥대로 204, 201,202호 (시흥동, 성보빌딩)",10:00~18:30,09:30~15:00,-,-,37.4522508,126.9019022
5976,유정한의원,한의원,02-805-8836,"서울특별시 금천구 시흥대로 204, 3층 (시흥동)",09:30~19:00,09:30~16:00,-,09:30~16:00,37.4522508,126.9019022
7559,고상덕산부인과의원,의원,02-802-6555,"서울특별시 금천구 독산로14길 3, (시흥동)",09:30~19:00,09:30~15:00,-,09:30~15:00,37.4524292,126.9069707
3263,(재)천주교서울대교구유지재단전진상의원,의원,02-802-9311,서울특별시 금천구 탑골로3가길 22 (시흥동),09:00~18:00,14:00~18:00,-,-,37.4525951,126.9107418
45,센트럴안과의원,의원,02-896-6985,서울특별시 금천구 시흥대로 211,09:30~18:00,09:30~15:30,-,-,37.4527343,126.9009252
7454,허경치과의원,치과,02-896-2875,"서울특별시 금천구 시흥대로 211, 2층 (시흥동)",09:30~18:00,09:30~13:00,-,-,37.4527343,126.9009252
8678,병인한의원시흥점,한의원,02-804-1075,"서울특별시 금천구 시흥대로 211, 4층 (시흥동, 삼성빌딩)",09:00~21:00,09:00~16:00,-,-,37.4527343,126.9009252
9640,동인당한의원,한의원,02-807-0333,"서울특별시 금천구 금하로 677, 2층 (시흥동)",09:00~21:00,09:00~18:00,-,09:00~19:00,37.4527589,126.9055722
5401,조윤희산부인과의원,의원,02-802-8892,"서울특별시 금천구 시흥대로 212, 2층 (시흥동)",09:30~18:00,09:30~13:00,-,-,37.4528035,126.9016433
1884,은행나무사랑한의원,한의원,02-809-0030,"서울특별시 금천구 독산로 61, 2,3층 (시흥동)",09:30~18:00,09:30~15:00,-,-,37.4529061,126.9058865
44,삼성서울정형외과의원,의원,02-892-7575,"서울특별시 금천구 시흥대로 214 (시흥동, 비즈메드빌딩)",09:00~18:30,09:00~15:00,-,09:00~13:00,37.453075,126.9016974
1135,굿아이금천이안과의원,의원,02-805-2700,서울특별시 금천구 시흥대로 214,09:30~18:30,09:30~14:00,-,-,37.453075,126.9016974
4794,고은나라의원,의원,02-803-8051,"서울특별시 금천구 시흥대로 214, 6층(시흥동,비즈메드)",09:30~18:30,09:30~15:30,-,-,37.453075,126.9016974
6316,시흥우리들소아청소년과의원,의원,02-802-0805,"서울특별시 금천구 시흥대로 214, 402 (시흥동,비즈메드빌딩)",09:00~21:00,09:00~17:00,10:00~17:00,10:00~17:00,37.453075,126.9016974
7592,나래정신건강의학과의원,의원,02-802-3180,"서울특별시 금천구 시흥대로 214 , 602호 (시흥동, 비즈메디빌딩)",10:00~18:00,10:00~13:00,-,-,37.453075,126.9016974
8659,우리내과의원,의원,02-892-7576,"서울특별시 금천구 시흥대로 214 (시흥동, 비즈메드)",09:00~19:00,09:00~16:00,-,-,37.453075,126.9016974
9357,삼성이비인후과의원,의원,02--804-0551,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 503호 (시흥동)",09:00~19:00,09:00~16:00,-,09:00~13:00,37.453075,126.9016974
5097,베스트e치과의원,치과,02-806-2804,"서울특별시 금천구 시흥대로 214 , 3층 302-303호 (시흥동)",10:00~19:00,10:00~16:00,-,-,37.453075,126.9016974
11704,보성치과의원,치과,02-802-9297,서울특별시 금천구 시흥대로 214,10:00~19:00,10:00~16:00,-,-,37.453075,126.9016974
9504,평강한의원,한의원,02-805-2669,"서울특별시 금천구 시흥대로 214, 403호 (시흥동, 시흥메드위즈빌딩)",09:00~18:30,09:00~17:00,-,-,37.453075,126.9016974
13337,태강한의원,한의원,02-803-9906,"서울특별시 금천구 금하로14길 6, 2층 (시흥동)",09:40~19:00,09:40~16:00,-,-,37.4533119,126.9038118
12531,유림미한의원,한의원,02-808-7703,서울특별시 금천구 시흥대로 218,09:30~18:30,09:30~16:00,-,-,37.4534024,126.9015131
7593,김동기치과의원,치과,02-803-4279,"서울특별시 금천구 시흥대로 220, (시흥동)",10:00~17:30,10:00~13:00,-,-,37.4535859,126.9014082
10413,경희태평한의원,한의원,02-895-1075,서울특별시 금천구 독산로22길 8 (시흥동),09:30~20:30,09:00~13:00,-,-,37.4535879,126.9066299
10406,원효당한의원,한의원,02-893-1171,서울특별시 금천구 금하로 657 (시흥동),09:00~18:00,09:00~14:00,-,09:00~14:00,37.4536557,126.9040013
1201,연세조내과의원,의원,02-803-2134,서울특별시 금천구 시흥대로58길 5,09:00~18:30,09:00~14:00,-,-,37.4537754,126.9015249
4385,서울소나무치과의원,치과,02-6265-2828,"서울특별시 금천구 시흥대로 225, 2층 (시흥동)",09:30~18:30,09:30~14:00,-,-,37.4538861,126.9004656
43,배비뇨기과의원,의원,02-802-5570,서울특별시 금천구 시흥대로 226,09:00~18:00,09:00~13:30,-,-,37.4541075,126.9011966
3741,보스턴인필란트치과의원,치과,02-802-4615,서울특별시 금천구 시흥대로 229,10:30~18:30,-,-,-,37.4541335,126.9003643
42,강피부과의원,의원,02-893-8546,서울특별시 금천구 시흥대로 228,09:30~18:00,09:30~14:00,-,-,37.4542411,126.9012126
3959,연세수마취통증의학과의원,의원,02-803-9056,서울특별시 금천구 시흥대로 228,09:30~18:00,09:30~14:00,-,-,37.4542411,126.9012126
13580,상쾌한이비인후과의원,의원,02-802-7709,"서울특별시 금천구 시흥대로 228, 3층 (시흥동)",09:00~18:30,09:00~16:00,-,-,37.4542411,126.9012126
7594,금천연세치과의원,치과,02-809-2275,"서울특별시 금천구 시흥대로 228, 2층 (시흥동)",09:30~18:30,09:30~14:00,-,-,37.4542411,126.9012126
1448,고려고든정형외과의원,의원,02-803-9700,"서울특별시 금천구 시흥대로 230, 4층 (시흥동, 서평빌딩)",09:00~19:00,09:00~15:00,-,-,37.4544404,126.9012447
2921,서울대효의원,의원,02-896-2114,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)",09:00~18:00,09:00~13:00,-,-,37.4544404,126.9012447
10727,밝은내일내과의원,의원,02-6933-0003,"서울특별시 금천구 시흥대로 230, 3층 303호 (시흥동, 서평빌딩)",08:30~18:30,08:30~15:00,-,-,37.4544404,126.9012447
4485,닥터플란트치과의원,치과,02-807-7528,"서울특별시 금천구 시흥대로 230 (시흥동, 서평빌딩)",09:30~18:00,09:30~14:00,-,-,37.4544404,126.9012447
5221,연세비뇨기과의원,의원,02-809-0805,"서울특별시 금천구 시흥대로 232, 2층 (시흥동)",09:30~18:30,09:30~16:30,-,-,37.4546036,126.9009398
7595,임안과의원,의원,02-803-8402,"서울특별시 금천구 시흥대로 232, (시흥동)",09:30~18:30,09:30~15:00,-,-,37.4546036,126.9009398
16121,김안과의원,의원,02-893-4796,서울특별시 금천구 금하로 632,09:00~18:30,09:00~15:30,-,-,37.4546516,126.9013392
7435,정한의원,한의원,02-891-9973,"서울특별시 금천구 금하로 632, 2층 (시흥동)",09:00~19:00,09:00~17:00,-,-,37.4546516,126.9013392
3915,맑은미소치과의원,치과,02-6335-2828,"서울특별시 금천구 금하로 630, 2층 (시흥동)",09:30~18:30,09:30~14:00,-,-,37.4546672,126.9011314
9074,아이숲소아청소년과의원,의원,02-577-3675,"서울특별시 서초구 헌릉로8길 45 (내곡동, 서초 포레스타 2단지)",09:00~18:30,09:00~14:00,-,-,37.454681,127.062553
13946,청아치과의원,치과,02-802-4784,"서울특별시 금천구 금하로 639, (시흥동)",10:00~18:30,10:00~14:00,-,-,37.4547566,126.9022388
13972,세종치과의원,치과,02-808-0512,"서울특별시 금천구 시흥대로 235, 3층 (시흥동)",09:30~18:30,09:30~14:00,-,-,37.4548135,126.9001042
6528,경희남도한의원,한의원,02-808-4555,서울특별시 금천구 금하로 633-1 (시흥동),09:00~21:00,09:00~14:00,-,-,37.4549329,126.9016871
16472,금천서울치과의원,치과,02-803-2882,"서울특별시 금천구 금하로 635, (시흥동)",09:30~18:30,09:30~15:30,-,-,37.4549393,126.9018569
7582,시흥치과의원,치과,02-803-0062,"서울특별시 금천구 금하로 631, (시흥동)",10:00~18:00,10:00~13:00,-,-,37.4549401,126.9012546
7580,예인치과의원,치과,02-804-1148,"서울특별시 금천구 금하로 633, (시흥동)",09:30~19:00,09:30~16:00,-,-,37.4549559,126.9015533
434,지성한의원,한의원,02-807-7575,"서울특별시 금천구 금하로 633, 2층 (시흥동)",09:30~19:30,09:30~15:00,-,-,37.4549559,126.9015533
7596,상쾌한윤치과의원,치과,02-804-2877,"서울특별시 금천구 시흥대로 238, (시흥동)",09:30~18:30,09:30~13:30,-,-,37.4550983,126.9007427
9374,한마음외과의원,의원,02-809-6214,"서울특별시 금천구 독산로 87, 유명빌딩 (시흥동)",09:00~19:00,09:00~14:00,-,-,37.4551367,126.9056654
11139,금천경희부부한의원,한의원,02-891-6655,서울특별시 금천구 금하로 631-6,09:00~19:00,09:00~16:00,-,-,37.4551644,126.9014612
5322,뉴연세여성의원,의원,02-891-1801,서울특별시 금천구 시흥대로 239 (시흥동),09:00~20:00,09:00~17:00,10:00~13:00,10:00~13:00,37.4552337,126.8999678
11315,뉴연세의원,의원,02-802-0303,서울특별시 금천구 시흥대로 239,08:30~18:00,08:30~13:00,-,10:00~13:00,37.4552337,126.8999678
12084,시흥의원,의원,02-892-0642,서울특별시 금천구 시흥대로 240,08:00~17:00,08:00~12:00,-,-,37.4552892,126.9007021
6103,마이키즈소아청소년과의원,의원,02-809-9130,"서울특별시 금천구 시흥대로 242, 반석빌딩 3층 (시흥동)",09:00~18:00,09:00~13:00,-,-,37.4554275,126.9006917
9097,희명치과의원,치과,02-807-2875,"서울특별시 금천구 시흥대로 242, 반석빌딩 2층 (시흥동)",09:00~18:00,09:00~13:00,-,-,37.4554275,126.9006917
7456,이열정형외과의원,의원,02-803-8862,"서울특별시 금천구 시흥대로 243, (시흥동)",09:00~17:30,09:00~12:30,-,-,37.4555156,126.8998572
1445,희명의원,종합병원,02-804-0002,서울특별시 금천구 시흥대로 244 (시흥동),08:30~17:30,08:30~12:30,-,-,37.4556793,126.900578
1071,서울특별시어린이의원,의원,02-570-8000,서울특별시 서초구 헌릉로 260 (내곡동),09:00~18:00,09:00~13:00,-,-,37.4557936,127.0689282
2303,빈센트의원,의원,02-898-9121,"서울특별시 금천구 한내로 62, 3층 3030호 (독산동, 한신코아상가)",09:00~19:00,09:00~13:00,-,-,37.4558526,126.8897219
6674,석치과의원,치과,02-899-5656,"서울특별시 금천구 한내로 62, 2011,2130호 (독산동, 한신코아상가)",09:30~18:00,09:30~16:00,-,-,37.4558526,126.8897219
7954,도담도담키즈치과의원,치과,02-575-2879,"서울특별시 서초구 양재대로2길 116-6, 3층 (우면동)",10:00~18:30,09:30~14:00,-,-,37.4564516,127.0154468
4069,연세자연애치과의원,치과,02-576-2275,"서울특별시 서초구 헌릉로 176, 서울영동농협종합시설 3층 1호 (내곡동)",10:00~19:00,10:00~14:00,-,-,37.4565884,127.0595097
7945,서울소아청소년과의원,의원,02-533-5875,"서울특별시 서초구 헌릉로8길 9-8 404호, 내곡플라자",09:00~18:30,09:00~14:00,-,-,37.4566898,127.0599758
14962,성모내과의원,의원,02-575-4700,"서울특별시 서초구 헌릉로8길 9-8, 4층 401호 (내곡동, 내곡플라자)",10:00~18:00,10:00~14:00,-,-,37.4566898,127.0599758
3889,서울내곡치과의원,치과,02-3462-1675,"서울특별시 서초구 헌릉로8길 9-8, 302호 303호 (내곡동, 내곡플라자)",10:00~19:00,10:00~15:00,09:30~14:00,-,37.4566898,127.0599758
4479,내곡웰치과의원,치과,02-3461-2879,"서울특별시 서초구 헌릉로8길 9-8, 402호 (내곡동, 내곡플라자)",09:30~18:30,09:30~14:00,-,-,37.4566898,127.0599758
429,자유한의원,한의원,02-529-9375,"서울특별시 서초구 헌릉로8길 9-8, 301호 (내곡동, 내곡플라자)",09:30~19:00,09:30~14:00,-,-,37.4566898,127.0599758
3749,서초하나로치과의원,치과,02-577-7522,"서울특별시 서초구 양재대로2길 116-19, 2층 204호 (우면동)",10:00~19:00,10:00~14:00,-,-,37.456875,127.0159846
7448,수한의원,한의원,02-3286-7582,서울특별시 금천구 독산로33길 34-7 (시흥동),09:00~19:00,09:00~16:00,-,09:00~16:00,37.4570407,126.9032989
8394,금천구보건소,보건소,02-890-2422,"서울특별시 금천구 시흥대로73길 70, (시흥동,금천구보건소)",09:00~18:00,-,-,-,37.4570784,126.8957012
13662,해맑은소아청소년과의원,의원,02-3462-7582,"서울특별시 서초구 중앙로 582, 301호 (우면동, 서초타워)",08:30~18:30,09:00~14:00,-,-,37.4571357,127.0153289
4452,서초힐치과의원,치과,02-575-2804,"서울특별시 서초구 중앙로 582, 서초타워 4층 (우면동)",10:00~21:00,10:00~14:00,-,-,37.4571357,127.0153289
16366,생명나무한의원,한의원,02-3461-7506,"서울특별시 서초구 중앙로 582, 4층 (우면동, 서초타워)",09:30~19:00,09:30~16:00,-,09:30~16:00,37.4571357,127.0153289
7603,유진목내과의원,의원,02-893-5211,"서울특별시 금천구 시흥대로 272, (시흥동)",09:00~18:30,09:00~15:00,-,-,37.4579377,126.899732
7599,사랑가득황치과의원,치과,02-804-0784,서울특별시 금천구 시흥대로 272 4층,09:30~18:00,09:30~13:00,-,-,37.4579377,126.899732
100,오세료한의원,한의원,02-802-0749,서울특별시 금천구 시흥대로 272 (시흥동),09:00~18:30,09:00~15:00,-,-,37.4579377,126.899732
7604,이청민소아청소년과의원,의원,02-803-0636,"서울특별시 금천구 시흥대로 274, (독산동)",09:00~18:00,09:00~13:00,-,-,37.4581507,126.8997018
16733,백산정신건강의학과의원,의원,02-809-5125,"서울특별시 금천구 시흥대로 276, (독산동)",09:30~16:00,09:30~12:00,-,-,37.4583303,126.8995692
7566,성메디칼산부인과의원,의원,02-808-0567,"서울특별시 금천구 독산로 125-1, (시흥동)",09:00~18:00,09:00~13:00,-,-,37.4586094,126.9049048
6927,서울강한신경외과의원,의원,02-893-7577,"서울특별시 금천구 독산로 132, 2층 (시흥동, 하나은행)",10:00~18:00,-,-,-,37.4590147,126.9053432
727,청솔한의원,한의원,02-553-1534,"서울특별시 금천구 독산로 131-1, 2층 (시흥동)",09:00~18:30,09:00~14:00,-,-,37.4590844,126.9049044
8689,연세이장교내과의원,의원,02-802-2622,"서울특별시 금천구 독산로 133, 2,3층 (시흥동)",09:00~18:00,08:00~15:00,-,-,37.4591989,126.9048796
591,정경화정신건강의학과의원,의원,02-894-7875,서울특별시 금천구 독산로 134,09:00~18:00,09:00~13:00,-,-,37.4592954,126.9052586
5398,명제한의원,한의원,02-895-4678,"서울특별시 금천구 독산로 134, 2층 (시흥동)",09:00~19:30,09:00~16:00,-,-,37.4592954,126.9052586
7433,연세현대치과의원,치과,02-891-7702,"서울특별시 금천구 독산로 135, (시흥동)",09:30~18:30,09:30~14:00,-,-,37.4594071,126.9048544
14878,서울바른마음치과의원,치과,02-895-7522,"서울특별시 금천구 독산로 135-1, 2층 (시흥동, 최이비인후과)",09:30~18:30,09:00~14:00,-,-,37.4595105,126.9047754
5666,연세조은피부과의원,의원,02-6012-4000,"서울특별시 금천구 독산로 136, 202호 (시흥동)",10:00~18:00,-,-,-,37.4595195,126.9052364
6107,명내과의원,의원,02-891-4280,"서울특별시 금천구 독산로 136, 2층 (시흥동)",09:00~18:30,09:00~16:00,-,-,37.4595195,126.9052364
15258,연세푸른안과의원,의원,02-809-7172,"서울특별시 금천구 독산로 136, 401,402호 (시흥동)",09:00~19:00,09:00~16:00,-,-,37.4595195,126.9052364
3793,미소치과의원,치과,02-806-8557,"서울특별시 금천구 독산로 136, (시흥동)",09:30~18:30,09:30~13:00,-,-,37.4595195,126.9052364
7420,연세정형외과의원,의원,02-896-8833,서울특별시 금천구 독산로 137 (시흥동),08:30~18:30,08:30~15:30,-,-,37.459624,126.9047533
3018,현대경희한의원,한의원,02-895-1511,"서울특별시 금천구 독산로40길 6, 1층 (시흥동)",08:30~18:30,-,-,-,37.4596724,126.9054512
587,김용호소아청소년과의원,의원,02-805-7575,서울특별시 금천구 독산로 139 (시흥동),08:30~19:00,08:30~15:00,-,-,37.4597223,126.9047636
2321,의료법인참예원의료재단서초참요양의원,요양의원,02-6081-2114,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참의원)",09:00~16:30,09:00~12:30,-,-,37.4597639,127.0253605
