NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,위도,경도
163,센트럴파란문약국,02-111-1234,"서울특별시 용산구 한강대로 95, 208-1호 (한강로2가, 래미안용산)",09:00~18:00,-,-,-,-,-,-,-,37.5288088,126.9666284
164,우리서울약국,02-3785-1233,"서울특별시 용산구 한강대로 95, 2층 207호 (한강로2가, 래미안용산)",09:00~18:00,-,-,-,-,-,-,-,37.5288088,126.9666284
165,민약국,02-111-1234,"서울특별시 용산구 한강대로23길 55, 용산민자역사내 3층 (한강로3가)",07:00~10:00,-,-,-,-,-,-,-,37.5298702,126.9648759
3565,코끼리약국,02-2652-0429,서울특별시 강서구 등촌로 31 2층,10:00~16:00,-,-,-,-,-,-,-,37.5328492,126.8634356
3524,우정약국,02-2690-2025,서울특별시 강서구 가로공원로76길 47 1층,10:00~16:00,-,-,-,-,-,-,-,37.5349957,126.8379037
268,행복을주는약국,02-3275-3723,"서울특별시 용산구 새창로 70, 212호 (도원동, 도원동삼성래미안)",09:00~18:00,-,-,-,-,-,-,-,37.5383839,126.9552549
3583,한마음약국,02-2652-6692,서울특별시 강서구 등촌로 147 유석빌딩 1층,10:00~14:00,-,-,-,-,-,-,-,37.5428316,126.8624315
3530,스마일약국,02-712-3311,서울특별시 마포구 백범로37길 26 1층,09:00~18:00,-,-,-,-,-,-,-,37.5442495,126.9549311
3542,정언약국,02-3426-2869,서울특별시 강동구 양재대로138길 47,09:00~21:00,-,-,-,-,-,-,-,37.5495522,127.1465455
3513,참미래약국,02-2063-3549,서울특별시 강서구 공항대로41길 66 (등촌동) 133호,09:00~18:00,-,-,-,-,-,-,-,37.560645,126.8465932
3541,세이지약국,02-111-1111,서울특별시 서대문구 이화여대길 52 지하4층 404호,11:00~15:00,-,-,-,-,-,-,-,37.5617773,126.9466193
3523,싱싱약국,02-363-8855,서울특별시 서대문구 통일로 87 지하 1층,11:00~15:00,-,-,-,-,-,-,-,37.5628118,126.9685342
3419,마곡프라자약국,070-8881-1122,"서울특별시 강서구 마곡서1로 115-1, 105, 106호 (마곡동, 마곡헤리움1차)",10:00~16:00,-,-,-,-,-,-,-,37.5667077,126.8185711
1649,마곡메디칼약국,02-2665-7585,"서울특별시 강서구 마곡중앙5로 81, 107, 108호 (마곡동, 에스비타운)",10:00~16:00,-,-,-,-,-,-,-,37.5671466,126.8185746
3479,이화사랑약국,02-375-8800,서울특별시 서대문구 수색로 56 3층 309-1호,11:00~15:00,-,-,-,-,-,-,-,37.5707261,126.9128052
2381,스카이약국,02-6116-1685,서울특별시 강서구 하늘길 38,10:00~16:00,-,-,-,-,-,-,-,37.5713694,126.80296
2114,미소약국,02-2664-2551,서울특별시 강서구 양천로 73,10:00~16:00,-,-,-,-,-,-,-,37.573715,126.8118294
3573,파란약국,02-3340-4922,서울특별시 동대문구 전농로 147 1층,09:00~12:00,-,-,-,-,-,-,-,37.5780037,127.0572814
3521,아이사랑약국,02-433-6990,서울특별시 중랑구 용마산로 310 (면목동) 1층,09:00~18:00,-,-,-,-,-,-,-,37.5798795,127.0922455
3545,조광당약국,02-969-6789,"서울특별시 동대문구 약령동길 62, 3층 302호 (제기동)",09:00~12:00,-,-,-,-,-,-,-,37.5810712,127.0380722
3035,메디컬우리약국,02-967-1468,"서울특별시 동대문구 휘경로 43, 1층 (휘경동)",09:00~12:00,-,-,-,-,-,-,-,37.5947392,127.0647819
3550,삼부약국,02-494-2388,"서울특별시 중랑구 망우로 410, 5층 (망우동)",09:00~18:00,-,-,-,-,-,-,-,37.5989718,127.0976279
3598,다온약국,02-389-6182,"서울특별시 은평구 은평로 123, 1층 101호 (응암동, 응암아네스트)",09:00~18:00,-,-,-,-,-,-,-,37.600552,126.9215191
543,오렌지약국,02-2207-5230,"서울특별시 중랑구 망우로 473, 무궁화빌딩 1층 (망우동)",09:00~18:00,-,-,-,-,-,-,-,37.6007931,127.1045773
3509,연세스타약국,02-389-7255,서울특별시 은평구 연서로 183-12 (갈현동),09:00~20:00,-,-,-,-,-,-,-,37.6149258,126.9174267
3512,엄마약국,02-981-2588,서울특별시 강북구 도봉로14길 7-8 1층,09:00~18:00,-,-,-,-,-,-,-,37.6156705,127.0305762
2348,송이온누리약국,02-6743-4262,서울특별시 중랑구 신내로 211,09:00~18:00,-,-,-,-,-,-,-,37.6163601,127.0926679
2911,한사랑약국,070-4229-9602,서울특별시 중랑구 신내로 225,09:00~18:00,-,-,-,-,-,-,-,37.6169698,127.0913734
3510,행복약국,02-930-0300,서울특별시 노원구 동일로 985 (공릉동) 1층,09:00~18:00,-,-,-,-,-,-,-,37.6180806,127.0752122
3480,태정온누리약국,02-357-0263,"서울특별시 은평구 진관2로 15-46, 108.109호 (진관동, 메트로프라자)",09:00~18:00,-,-,-,-,-,-,-,37.638625,126.9190942
3569,타워온누리약국,02-903-7578,"서울특별시 강북구 도봉로 358, 2층 201호 (번동, 코스타타워)",09:00~18:00,-,-,-,-,-,-,-,37.6391312,127.0275011
3538,소망약국,02-903-3353,"서울특별시 강북구 한천로 1088, 1층 (수유동, 현진빌딩)",09:00~18:00,-,-,-,-,-,-,-,37.6431795,127.0228141
3577,동보진약국,02-3392-5533,서울특별시 노원구 동일로 1372 동보빌딩 302호,09:00~19:00,-,-,-,-,-,-,-,37.651087,127.0617965
3130,레몬약국,070-8184-9606,"서울특별시 도봉구 시루봉로 105, 1층 111호 (방학동, 신동아상가)",09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~19:00,09:00~14:00,09:00~13:00,09:00~13:00,37.6601921,127.0270553
418,푸른약국,02-956-3388,"서울특별시 도봉구 도봉로180나길 34, 1층 (도봉동)",09:00~18:00,-,-,-,-,-,-,-,37.6837447,127.0495503
3466,밝은미래약국,02-889-6823,서울특별시 관악구 신림로 135 (신림동),00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,-,-,37.4711021,126.9343296
2807,청춘약국,070-7715-2828,서울특별시 관악구 남부순환로 1644,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,-,-,-,37.4843798,126.9333198
3570,토리약국,02-6251-3301,서울특별시 서초구 서초대로77길 24 (서초동) 301호,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,-,-,37.5000253,127.0259895
3519,아임약국,02-532-8229,"서울특별시 서초구 강남대로 439, 1층 (서초동, 유화빌딩)",00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,-,-,37.5015435,127.0253505
3560,반포다정약국,070-4409-7582,서울특별시 서초구 신반포로 143 (반포동) 5층,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,-,-,37.5049623,127.0000391
4526,소중한약국,02-2607-4061,"서울특별시 양천구 오목로 64, 1층 (신월동)",00:00~00:00,00:00~00:00,08:30~21:00,00:00~00:00,00:00~00:00,09:00~21:00,-,-,37.5224596,126.8447099
3010,후생약국,02-934-4861,서울특별시 노원구 동일로227길 26,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,00:00~00:00,08:30~16:00,08:30~16:00,-,37.6683012,127.055611
16,농수산약국,02-400-1424,서울특별시 송파구 양재대로 932 (가락동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~16:00,-,-,37.4961026,127.1110027
98,제일그랜드약국,02-546-0093,서울특별시 강남구 강남대로 478,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5051164,127.0246999
97,건강한세상행복한약국,02-545-0029,서울특별시 강남구 강남대로 488 (논현동) 1층,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5059031,127.0242689
2242,새삼성약국,02-756-3301,서울특별시 중구 남대문로 16-1,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,-,-,37.5607807,126.9776121
3892,동시약국,02-2268-4055,"서울특별시 종로구 종로 202-1, (종로4가,동흥빌딩)",06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,-,-,37.5706383,127.0002271
1133,완약국,070-4235-4395,"서울특별시 서대문구 세검정로1길 115, (홍은동)",06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,06:00~20:00,-,37.595498,126.9461201
195,국제공항약국,02-2664-1350,서울특별시 강서구 하늘길 38,06:30~19:30,06:30~19:30,06:30~19:30,06:30~19:30,06:30~19:30,06:30~19:30,09:00~19:30,06:30~19:30,37.5713694,126.80296
38,동현약국,02-472-7722,"서울특별시 강동구 양재대로127길 19, (천호동)",06:30~23:30,06:30~23:30,06:30~23:30,06:30~23:30,06:30~23:30,07:00~23:30,07:00~23:30,07:00~23:30,37.5452477,127.141594
95,마장백화점약국,02-962-1161,"서울특별시 동대문구 고산자로 410, 1층 (용두동)",06:40~23:30,06:40~23:30,06:40~23:30,06:40~23:30,06:40~23:30,06:40~23:30,08:00~23:00,08:00~23:00,37.5762791,127.0387903
462,월곡보건약국,02-909-8144,"서울특별시 성북구 화랑로 61, 1층 (하월곡동)",07:00~18:30,07:00~18:30,07:00~18:30,07:00~18:30,07:00~18:30,09:00~18:00,-,-,37.6026552,127.0392187
4807,설화약국,02-2634-5357,"서울특별시 영등포구 영중로24길 29, (영등포동5가)",07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,-,-,37.521966,126.908481
4799,보은당약국,02-2676-7632,"서울특별시 영등포구 당산로 163, (당산동4가)",07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~16:00,-,-,37.5291927,126.8978591
2207,삼성서울약국,02-429-5862,서울특별시 강동구 상일로6길 26,07:00~19:30,07:00~19:30,07:00~19:30,07:00~19:30,07:00~19:30,-,-,-,37.5488217,127.1753523
3163,경동시장약국,02-964-4674,"서울특별시 동대문구 고산자로 476, 1층 (제기동, 서울제기동우체국)",07:00~19:30,07:00~19:30,07:00~19:30,07:00~19:30,07:00~19:30,07:00~18:00,-,-,37.58215,127.0389096
193,웰빙국내선약국,02-2662-3623,서울특별시 강서구 하늘길 112,07:00~19:50,07:00~19:50,07:00~19:50,07:00~19:50,07:00~19:50,07:00~19:50,08:00~19:00,07:00~19:50,37.5586538,126.8034637
4705,중부사약국,02-2275-7357,"서울특별시 중구 을지로30길 58, (오장동)",07:00~20:30,07:00~20:30,07:00~20:30,07:00~20:30,07:00~20:30,07:00~17:00,-,-,37.5646443,126.9989265
428,종로온누리약국,02-2636-1110,"서울특별시 영등포구 시흥대로187길 12, 상가동 103호 (대림동, 대림동현대아파트)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~18:00,10:00~18:00,10:00~18:00,37.492921,126.9083909
4750,천우약국,02-2634-1556,"서울특별시 영등포구 영등포로 231-1, (영등포동5가)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,-,-,37.5196591,126.9072719
852,중부고속약국,02-444-3672,서울특별시 광진구 강변역로 50,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,37.5345391,127.0941842
2182,부일약국,02-2292-8620,서울특별시 성동구 왕십리로 273-1,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,-,-,37.558835,127.0371251
602,새재약국,02-2272-5953,"서울특별시 중구 장충단로7길 41, (장충동2가)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,08:00~21:00,-,37.5624147,127.0041494
4428,한일약국,02-2275-0024,"서울특별시 종로구 창경궁로11길 3, (예지동)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,-,-,37.5696432,126.997612
1681,세광약국,02-962-8989,"서울특별시 동대문구 왕산로 171, (제기동)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~20:30,-,37.5794965,127.0421103
1091,소원약국,02-372-6474,"서울특별시 은평구 수색로 256, (수색동)",07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,-,-,37.5822588,126.896294
1523,상도약국,02-2292-5485,"서울특별시 성동구 왕십리로21길 19, 행당시장 1층 (행당동)",07:00~21:30,07:00~21:30,07:00~21:30,07:00~21:30,07:00~21:30,07:00~21:30,09:00~18:00,-,37.5604155,127.0327128
4081,한중약국,02-752-2326,"서울특별시 중구 서소문로 128, (서소문동)",07:00~21:30,07:00~21:30,07:00~21:30,07:00~21:30,07:00~21:30,09:00~18:00,-,-,37.5633312,126.975548
708,성신약국,02-878-8350,서울특별시 관악구 남부순환로 1728,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,-,-,37.4821428,126.9420273
381,엔티약국,02-6405-5500,"서울특별시 서초구 효령로 292, 서울남부터미널 117호 (서초동)",07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,-,37.4835376,127.015113
809,중앙약국,02-2678-2268,서울특별시 영등포구 경인로 846,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,-,37.5156838,126.9076607
104,대교약국,02-714-5849,"서울특별시 마포구 도화길 10, (도화동)",07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,-,37.5397983,126.9474029
12,서울중앙약국,02-313-4483,서울특별시 용산구 한강대로 405 1층,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,37.5548377,126.9717321
4798,웰빙우정약국,02-941-1923,"서울특별시 성북구 월계로 46, (하월곡동)",07:30~13:30,07:30~13:30,07:30~13:30,07:30~13:30,07:30~13:30,-,-,-,37.6112051,127.0348827
4599,한미약국,02-2238-5929,"서울특별시 중구 청계천로 334, 1층 48호 (신당동,평화)",07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~17:00,-,-,37.5694626,127.0149545
4932,명성약국,02-836-0206,"서울특별시 영등포구 도림로 152-4, (대림동)",07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,08:00~14:00,07:00~18:30,-,37.4935933,126.8988613
1961,대생약국,02-2696-8082,서울특별시 강서구 강서로 171,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~14:30,-,-,37.5418087,126.8398414
4352,우인약국,02-2297-1556,"서울특별시 성동구 왕십리로 339, (하왕십리동)",07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~14:30,-,-,37.5629087,127.03209
3185,청구프라자약국,02-389-3825,"서울특별시 은평구 통일로83길 5-6, (갈현동)",07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~15:00,-,-,37.6207071,126.9191425
300,행복한미래약국,02-515-3800,서울특별시 강남구 언주로 707,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~17:00,07:30~12:00,-,37.5162183,127.0350359
2688,전원약국,02-585-9677,"서울특별시 동작구 사당로 244, 1호 (사당동,사당시장 점포)",07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~16:30,-,-,37.4830336,126.9748808
1587,행복한오늘이수약국,02-583-5235,"서울특별시 동작구 사당로 308 (사당동, 화인빌딩)",07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,-,-,-,37.4848914,126.9815954
4339,한강약국,02-2676-4850,"서울특별시 영등포구 버드나루로7길 7, 105호 (영등포동2가)",07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~15:30,-,-,37.5228425,126.9100031
4368,우경약국,02-871-1549,"서울특별시 관악구 호암로 531-1, (신림동)",07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,08:30~16:00,-,-,37.4651612,126.9313048
2295,성모약국,02-3412-1336,서울특별시 강남구 개포로 516,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~15:30,-,-,37.4886321,127.0704418
3231,시티약국,02-2232-0546,"서울특별시 중구 퇴계로 409, 1층 101호 (흥인동, 흥화브라운 오피스텔)",07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~17:00,-,-,37.5657813,127.0170171
4803,태약국,02-763-9414,"서울특별시 종로구 종로 199-1, (종로4가)",07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,-,-,37.5711519,126.9999124
1218,신양온누리약국,02-804-1230,서울특별시 금천구 시흥대로58길 38 (시흥동),07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,-,-,37.4536605,126.9033546
2980,혜인약국,02-885-1404,서울특별시 관악구 관악로 211,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,08:00~19:30,-,-,37.4842633,126.9543201
4778,태령약국,02-832-0514,"서울특별시 영등포구 신길로 157, (신길동)",07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,-,-,37.5063656,126.9108398
1038,다나약국,02-2234-0345,"서울특별시 중구 동호로 171, (신당동)",07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~19:00,07:30~19:00,-,37.553427,127.0112448
1096,속편한약국,02-356-9200,"서울특별시 은평구 갈현로 206, (갈현동)",07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~19:00,-,-,37.615785,126.9137718
1074,상아약국,02-985-3211,서울특별시 강북구 도봉로 143,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,09:30~20:00,07:30~21:00,37.6215296,127.0277172
2385,승약국,02-981-5581,서울특별시 강북구 솔매로 38,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,-,-,-,37.6254356,127.0164182
4063,신보영약국,02-793-9627,"서울특별시 용산구 한강대로 154, (한강로2가)",07:30~21:30,07:30~21:30,07:30~21:30,07:30~21:30,07:30~21:30,09:30~13:00,-,-,37.5326395,126.9715516
2192,사랑약국,02-993-7289,서울특별시 강북구 도봉로 186,07:30~21:30,07:30~21:30,07:30~21:30,07:30~21:30,07:30~21:30,09:00~21:00,-,-,37.625293,127.0269092
2659,인덕약국,02-993-6250,서울특별시 노원구 월계로 370,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,07:30~22:00,08:00~22:00,12:00~18:30,-,37.6309858,127.0610341
25,상산약국,02-2252-3354,"서울특별시 중구 퇴계로 435, 1층 (황학동)",07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,09:00~22:30,-,37.5658478,127.0200462
101,수복약국,02-714-0667,서울특별시 용산구 새창로12길 12,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,37.5392594,126.9575186
68,삼보약국,02-2279-9230,"서울특별시 종로구 수표로 92, (관수동)",07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,-,10:00~22:00,37.56939,126.9896493
1894,기분좋은약국,02-872-2378,서울특별시 관악구 은천로 110,07:40~21:30,07:40~21:30,07:40~21:30,07:40~21:30,07:40~21:30,07:40~18:30,-,07:40~14:00,37.4867071,126.94743
1444,늘푸른약국,02-2243-1101,서울특별시 동대문구 전농로 148,08:00~08:00,08:00~08:00,08:00~08:00,08:00~08:00,08:00~08:00,08:00~19:00,-,-,37.5782293,127.0576725
3656,미래약국,02-401-5565,"서울특별시 송파구 오금로 518, (거여동)",08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,08:30~14:00,-,-,37.4928029,127.1463617
4530,문래건강한약국,02-2633-0696,"서울특별시 영등포구 영등포로 122-1, 1층 (당산동2가,아람빌딩)",08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,-,-,37.5212865,126.8950734
4544,백조약국,02-738-8808,"서울특별시 중구 세종대로21길 61, (태평로1가)",08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:30,08:00~08:00,-,-,37.5691603,126.9759118
1784,가람온누리약국,02-2658-3518,서울특별시 강서구 공항대로67길 29-26,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,-,-,-,37.5497587,126.8689095
2745,좋은아침약국,02-3453-3424,서울특별시 강남구 논현로85길 7,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,10:00~13:00,10:00~13:00,-,37.4989727,127.0368257
1217,대치이화약국,02-567-3375,"서울특별시 강남구 역삼로 536, 3층 (대치동, 동성빌딩)",08:00~17:00,08:00~17:00,-,08:00~17:00,08:00~17:00,08:00~14:00,-,-,37.5038361,127.0617154
3775,안국온누리약국,02-6283-8008,"서울특별시 종로구 삼일대로 461, 101동 203호 (경운동, 운현궁에스케이허브)",08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,-,37.5756094,126.9858361
4167,경원약국,02-967-6217,서울특별시 동대문구 고산자로36길 3 (제기동),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,37.5790462,127.0391588
4001,초록약국,02-933-4655,"서울특별시 노원구 한글비석로 384, 315,316호 (중계동,대호프라자)",08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,09:00~14:00,-,-,37.6598202,127.0732069
1914,남영약국,02-733-4774,서울특별시 종로구 삼일대로 461,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~13:30,-,-,37.5756094,126.9858361
2572,우리약국,02-994-4086,서울특별시 도봉구 도봉로 551-10,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~13:00,-,-,37.654635,127.0374894
3332,나래약국,070-8886-9369,서울특별시 금천구 독산로 137,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~16:00,-,-,37.459624,126.9047533
1175,사랑손약국,02-6411-1188,"서울특별시 서초구 서초대로38길 12, 103호 (서초동, 마제스타시티타워원)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:30,-,-,37.490495,127.0053816
177,베스트약국,02-2066-5200,서울특별시 구로구 고척로 203 (고척동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,37.5052815,126.8558359
3476,코코약국,02-2649-0998,"서울특별시 양천구 등촌로 32, 106호 (목동, 목동태영프라자)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-,37.532886,126.8641877
3985,기쁜샘약국,02-476-2133,"서울특별시 강동구 천호대로 1163, (길동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,09:00~13:00,-,-,37.5341067,127.1405088
4595,열린온누리약국,02-3662-0069,"서울특별시 강서구 양천로 713, (염창동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,-,37.5498417,126.8752579
3244,유약국,02-2695-7576,"서울특별시 강서구 화곡로 331, (화곡동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:30,-,-,37.5535053,126.8507079
1976,대풍약국,02-2296-8899,서울특별시 성동구 사근동길 6,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-,37.5601225,127.0420338
203,새봄약국,02-2063-3779,서울특별시 강서구 양천로59길 46,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-,37.5610498,126.8600288
4689,성균제일약국,02-2269-6872,"서울특별시 중구 퇴계로48길 31, (묵정동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:30~14:30,-,-,37.5611803,127.0000776
3275,대해약국,02-2268-4885,"서울특별시 중구 을지로30길 24, 1층 (을지로4가)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~16:00,-,-,37.5658127,126.9995019
3790,타워약국,02-2235-1876,"서울특별시 중구 퇴계로 447, B동 318호 (황학동,황학아크로타워)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-,37.5659489,127.0217506
3162,건강한세상약국,02-733-7870,서울특별시 종로구 새문안로 21 (평동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,09:00~13:00,-,-,37.567511,126.9679544
1751,평안약국,02-2279-0489,"서울특별시 중구 청계천로 260-9, (을지로6가)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,37.5690708,127.0067381
3006,효성당약국,02-962-9306,서울특별시 동대문구 고산자로32길 67,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,37.5775429,127.0418592
